"","Year","Sender","Receiver","Weight"
"1",1993,"AUS","ALB",10000
"2",1994,"AUS","ALB",10000
"3",1996,"AUS","ALB",0
"4",2001,"AUS","ALB",10000
"5",2008,"AUS","ALB",10000
"6",2009,"AUS","ALB",10000
"7",2010,"AUS","ALB",10000
"8",2011,"AUS","ALB",10000
"9",2012,"AUS","ALB",20000
"10",2013,"AUS","ALB",10000
"11",2015,"AUS","ALB",123480.351641746
"12",2016,"AUS","ALB",236265.852226269
"13",2017,"AUS","ALB",183768.871177868
"14",2018,"AUS","ALB",45274.109210428
"15",2019,"AUS","ALB",43354.9673663724
"16",1994,"AUS","BIH",0
"17",1996,"AUS","BIH",0
"18",2001,"AUS","BIH",10000
"19",2006,"AUS","BIH",10000
"20",2007,"AUS","BIH",30000
"21",2008,"AUS","BIH",20000
"22",2009,"AUS","BIH",20000
"23",2010,"AUS","BIH",20000
"24",2011,"AUS","BIH",20000
"25",2012,"AUS","BIH",10000
"26",2013,"AUS","BIH",20000
"27",2014,"AUS","BIH",0
"28",2015,"AUS","BIH",11300.6236381396
"29",2016,"AUS","BIH",18546.049208355
"30",2017,"AUS","BIH",22323.5496972948
"31",2018,"AUS","BIH",29739.05281243
"32",2019,"AUS","BIH",14290.0880864669
"33",1994,"AUS","HRV",0
"34",1996,"AUS","HRV",30000
"35",2000,"AUS","HRV",60000
"36",2001,"AUS","HRV",130000
"37",2002,"AUS","HRV",110000
"38",2003,"AUS","HRV",150000
"39",2004,"AUS","HRV",1e+06
"40",2005,"AUS","HRV",930000
"41",2006,"AUS","HRV",1180000
"42",2007,"AUS","HRV",1910000
"43",2008,"AUS","HRV",720000
"44",2009,"AUS","HRV",1180000
"45",2010,"AUS","HRV",1380000
"46",1972,"AUS","CYP",10000
"47",1974,"AUS","CYP",80000
"48",1975,"AUS","CYP",130000
"49",1976,"AUS","CYP",60000
"50",1977,"AUS","CYP",20000
"51",1978,"AUS","CYP",10000
"52",1979,"AUS","CYP",10000
"53",1980,"AUS","CYP",40000
"54",1981,"AUS","CYP",10000
"55",1982,"AUS","CYP",20000
"56",1983,"AUS","CYP",1320000
"57",1984,"AUS","CYP",70000
"58",1985,"AUS","CYP",30000
"59",1986,"AUS","CYP",40000
"60",1989,"AUS","CYP",10000
"61",1990,"AUS","CYP",20000
"62",1991,"AUS","CYP",30000
"63",1993,"AUS","CYP",10000
"64",1994,"AUS","CYP",10000
"65",1994,"AUS","MKD",0
"66",1996,"AUS","MKD",30000
"67",2007,"AUS","MKD",10000
"68",2008,"AUS","MKD",10000
"69",2009,"AUS","MKD",10000
"70",2010,"AUS","MKD",10000
"71",2011,"AUS","MKD",20000
"72",2012,"AUS","MKD",20000
"73",2014,"AUS","MKD",0
"74",2015,"AUS","MKD",6206.32654594635
"75",2016,"AUS","MKD",6600.7581951981
"76",2017,"AUS","MKD",2666.87102459959
"77",2018,"AUS","MKD",867138.458952715
"78",2019,"AUS","MKD",12139.4249113783
"79",2015,"AUS","KOS",4959.05026673679
"80",2017,"AUS","KOS",6575.21649168519
"81",2018,"AUS","KOS",125665.405990887
"82",2019,"AUS","KOS",117383.820713144
"83",1967,"AUS","MLT",10000
"84",1975,"AUS","MLT",10000
"85",1976,"AUS","MLT",10000
"86",1977,"AUS","MLT",10000
"87",1978,"AUS","MLT",20000
"88",1979,"AUS","MLT",10000
"89",1980,"AUS","MLT",820000
"90",1981,"AUS","MLT",260000
"91",1982,"AUS","MLT",160000
"92",1983,"AUS","MLT",250000
"93",1984,"AUS","MLT",30000
"94",1985,"AUS","MLT",30000
"95",1986,"AUS","MLT",20000
"96",1988,"AUS","MLT",10000
"97",1989,"AUS","MLT",20000
"98",1990,"AUS","MLT",20000
"99",1991,"AUS","MLT",30000
"100",1993,"AUS","MLT",50000
"101",1994,"AUS","MLT",20000
"102",1999,"AUS","MLT",10000
"103",2000,"AUS","MLT",40000
"104",2001,"AUS","MLT",40000
"105",2012,"AUS","MDA",520000
"106",2016,"AUS","MDA",56991.0057236304
"107",2010,"AUS","MNE",10000
"108",2011,"AUS","MNE",10000
"109",2012,"AUS","MNE",10000
"110",2013,"AUS","MNE",210000
"111",2014,"AUS","MNE",0
"112",2015,"AUS","MNE",8715.90652941618
"113",2016,"AUS","MNE",19675.9087192448
"114",2019,"AUS","MNE",8335.85318690484
"115",1999,"AUS","SRB",44180000
"116",2000,"AUS","SRB",5840000
"117",2001,"AUS","SRB",1020000
"118",2003,"AUS","SRB",230000
"119",2004,"AUS","SRB",950000
"120",2005,"AUS","SRB",320000
"121",2006,"AUS","SRB",30000
"122",2007,"AUS","SRB",1900000
"123",2008,"AUS","SRB",1490000
"124",2009,"AUS","SRB",1620000
"125",2010,"AUS","SRB",1820000
