"","Year","Sender","Receiver","LOR"
"1",1960,"CSK","AFG",0.75
"2",1960,"EGY","AFG",1
"3",1960,"FRA","AFG",1
"4",1960,"DEU","AFG",1
"5",1960,"IND","AFG",1
"6",1960,"IDN","AFG",0.75
"7",1960,"IRN","AFG",1
"8",1960,"ITA","AFG",0.75
"9",1960,"JPN","AFG",1
"10",1960,"PAK","AFG",1
"11",1960,"POL","AFG",0.75
"12",1960,"RUS","AFG",0.75
"13",1960,"SAU","AFG",0.75
"14",1960,"TUR","AFG",1
"15",1960,"GBR","AFG",1
"16",1960,"USA","AFG",1
"17",1960,"BGR","ALB",1
"18",1960,"CSK","ALB",1
"19",1960,"EGY","ALB",1
"20",1960,"FRA","ALB",0.75
"21",1960,"DDR","ALB",1
"22",1960,"HUN","ALB",1
"23",1960,"ITA","ALB",0.75
"24",1960,"PRK","ALB",1
"25",1960,"POL","ALB",1
"26",1960,"ROU","ALB",1
"27",1960,"RUS","ALB",1
"28",1960,"YUG","ALB",0.75
"29",1960,"AUT","ARG",0.5
"30",1960,"BEL","ARG",1
"31",1960,"BOL","ARG",1
"32",1960,"BRA","ARG",1
"33",1960,"BGR","ARG",0.75
"34",1960,"CAN","ARG",1
"35",1960,"CHL","ARG",1
"36",1960,"COL","ARG",1
"37",1960,"CUB","ARG",1
"38",1960,"CSK","ARG",0.375
"39",1960,"DNK","ARG",0.5
"40",1960,"DOM","ARG",1
"41",1960,"ECU","ARG",0.75
"42",1960,"EGY","ARG",1
"43",1960,"SLV","ARG",1
"44",1960,"FIN","ARG",0.5
"45",1960,"FRA","ARG",1
"46",1960,"DEU","ARG",1
"47",1960,"GRC","ARG",0.5
"48",1960,"GTM","ARG",1
"49",1960,"VAT","ARG",1
"50",1960,"HND","ARG",1
"51",1960,"HUN","ARG",0.375
"52",1960,"IND","ARG",1
"53",1960,"IDN","ARG",1
"54",1960,"IRN","ARG",1
"55",1960,"IRL","ARG",0.75
"56",1960,"ISR","ARG",0.75
"57",1960,"ITA","ARG",1
"58",1960,"JPN","ARG",1
"59",1960,"LBN","ARG",1
"60",1960,"MEX","ARG",1
"61",1960,"NLD","ARG",0.5
"62",1960,"NIC","ARG",1
"63",1960,"NOR","ARG",0.5
"64",1960,"PAN","ARG",1
"65",1960,"PRY","ARG",1
"66",1960,"PER","ARG",1
"67",1960,"PHL","ARG",0.5
"68",1960,"POL","ARG",0.375
"69",1960,"PRT","ARG",0.5
"70",1960,"ROU","ARG",0.75
"71",1960,"RUS","ARG",1
"72",1960,"ZAF","ARG",1
"73",1960,"ESP","ARG",1
"74",1960,"SWE","ARG",1
"75",1960,"CHE","ARG",0.5
"76",1960,"TWN","ARG",1
"77",1960,"THA","ARG",1
"78",1960,"TUR","ARG",0.5
"79",1960,"GBR","ARG",1
"80",1960,"USA","ARG",1
"81",1960,"VEN","ARG",1
"82",1960,"YUG","ARG",0.5
"83",1960,"AUT","AUS",0.375
"84",1960,"BEL","AUS",1
"85",1960,"BRA","AUS",1
"86",1960,"KHM","AUS",1
"87",1960,"CAN","AUS",1
"88",1960,"CHL","AUS",0.75
"89",1960,"CSK","AUS",0.75
"90",1960,"DNK","AUS",0.75
"91",1960,"FIN","AUS",0.375
"92",1960,"FRA","AUS",1
"93",1960,"DEU","AUS",1
"94",1960,"GRC","AUS",0.375
"95",1960,"IND","AUS",1
"96",1960,"IDN","AUS",1
"97",1960,"IRL","AUS",0.75
"98",1960,"ISR","AUS",1
"99",1960,"ITA","AUS",1
"100",1960,"JPN","AUS",1
"101",1960,"MYS","AUS",1
"102",1960,"MLT","AUS",0.75
"103",1960,"NLD","AUS",1
"104",1960,"NZL","AUS",1
"105",1960,"PAK","AUS",1
"106",1960,"PHL","AUS",0.5
"107",1960,"RUS","AUS",1
"108",1960,"ZAF","AUS",1
"109",1960,"LKA","AUS",1
"110",1960,"SWE","AUS",0.75
"111",1960,"CHE","AUS",0.75
"112",1960,"TWN","AUS",1
"113",1960,"THA","AUS",1
"114",1960,"USA","AUS",1
"115",1960,"YUG","AUS",0.75
"116",1960,"BEL","AUT",1
"117",1960,"BRA","AUT",1
"118",1960,"BGR","AUT",0.75
"119",1960,"CAN","AUT",1
"120",1960,"CHL","AUT",1
"121",1960,"COL","AUT",0.75
"122",1960,"CSK","AUT",0.75
"123",1960,"FIN","AUT",0.75
"124",1960,"FRA","AUT",1
"125",1960,"DEU","AUT",1
"126",1960,"GRC","AUT",1
"127",1960,"VAT","AUT",1
"128",1960,"HUN","AUT",0.75
"129",1960,"IND","AUT",1
"130",1960,"IDN","AUT",1
"131",1960,"IRN","AUT",1
"132",1960,"IRQ","AUT",0.75
"133",1960,"ISR","AUT",1
"134",1960,"ITA","AUT",1
"135",1960,"JPN","AUT",1
"136",1960,"MEX","AUT",0.75
"137",1960,"NLD","AUT",1
"138",1960,"NIC","AUT",0.75
"139",1960,"NOR","AUT",0.375
"140",1960,"PAN","AUT",1
"141",1960,"PER","AUT",0.375
"142",1960,"POL","AUT",0.75
"143",1960,"PRT","AUT",1
"144",1960,"ROU","AUT",0.75
"145",1960,"RUS","AUT",1
"146",1960,"ZAF","AUT",1
"147",1960,"ESP","AUT",1
"148",1960,"SWE","AUT",1
"149",1960,"CHE","AUT",1
"150",1960,"TUN","AUT",1
"151",1960,"TUR","AUT",1
"152",1960,"GBR","AUT",1
"153",1960,"USA","AUT",1
"154",1960,"URY","AUT",1
"155",1960,"VEN","AUT",1
"156",1960,"YUG","AUT",1
"157",1960,"ARG","BEL",1
"158",1960,"AUT","BEL",0.5
"159",1960,"BRA","BEL",1
"160",1960,"BGR","BEL",0.75
"161",1960,"CAN","BEL",1
"162",1960,"CHL","BEL",1
"163",1960,"COL","BEL",1
"164",1960,"CUB","BEL",1
"165",1960,"CSK","BEL",0.375
"166",1960,"DNK","BEL",0.5
"167",1960,"DOM","BEL",1
"168",1960,"ECU","BEL",0.75
"169",1960,"EGY","BEL",1
"170",1960,"FIN","BEL",0.375
"171",1960,"FRA","BEL",1
"172",1960,"DEU","BEL",1
"173",1960,"GRC","BEL",1
"174",1960,"GTM","BEL",0.75
"175",1960,"HTI","BEL",0.75
"176",1960,"VAT","BEL",0.5
"177",1960,"HUN","BEL",0.375
"178",1960,"IND","BEL",1
"179",1960,"IDN","BEL",1
"180",1960,"IRN","BEL",1
"181",1960,"IRQ","BEL",0.75
"182",1960,"IRL","BEL",1
"183",1960,"ISR","BEL",0.5
"184",1960,"ITA","BEL",1
"185",1960,"JPN","BEL",1
"186",1960,"LBN","BEL",1
"187",1960,"LBR","BEL",1
"188",1960,"LUX","BEL",1
"189",1960,"MEX","BEL",1
"190",1960,"MCO","BEL",0.75
"191",1960,"MAR","BEL",1
"192",1960,"NLD","BEL",1
"193",1960,"NIC","BEL",0.75
"194",1960,"NOR","BEL",0.5
"195",1960,"PAK","BEL",1
"196",1960,"PAN","BEL",1
"197",1960,"PER","BEL",0.75
"198",1960,"POL","BEL",0.5
"199",1960,"PRT","BEL",1
"200",1960,"ROU","BEL",0.375
"201",1960,"RUS","BEL",1
"202",1960,"ZAF","BEL",1
"203",1960,"ESP","BEL",0.5
"204",1960,"SWE","BEL",0.5
